Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,8.250,10.000,9.000,3
,5,0.279,1.000,0.000,3
,8,0.140,1.000,0.000,3
,11,0.424,2.219,0.938,3
,14,0.110,1.281,0.000,3
,17,0.130,1.617,0.260,3
,20,0.124,1.539,-0.260,3
,23,0.134,1.461,-0.260,3
,26,0.149,1.367,-0.234,3
,29,0.338,2.234,-1.570,3
,30,0.134,1.211,-0.785,3
Prompt: an astronaut flying in space, surrealism style aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.078,6.781,5.781,3
,5,0.256,1.000,0.000,3
,8,0.171,1.000,0.000,3
,11,0.273,1.875,0.676,3
,14,0.151,1.203,0.000,3
,17,0.134,1.367,-0.234,3
,20,0.129,1.297,-0.234,3
,23,0.125,1.211,-0.208,3
,26,0.152,1.273,0.208,3
,29,0.217,1.281,-0.312,3
,30,0.167,1.375,0.312,3
Prompt: an astronaut flying in space, surrealism style aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,0.832,1.625,-0.625,3
,5,0.295,1.000,0.000,3
,8,0.198,1.000,0.000,3
,11,0.208,2.219,0.938,3
,14,0.136,1.625,-0.494,3
,17,0.121,1.445,-0.443,3
,20,0.095,1.000,0.000,4
,24,0.120,1.219,0.156,3
,27,0.166,1.367,0.234,3
,29,0.178,1.438,0.234,3
,30,0.174,1.539,0.260,3
Prompt: the bund shanghai, pixel art aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.953,3.812,-2.812,3
,5,0.264,1.000,0.000,3
,8,0.165,1.000,0.000,3
,11,0.305,2.922,1.477,3
,14,0.173,2.016,-0.809,3
,17,0.103,1.367,-0.234,4
,21,0.081,1.133,0.000,6
,27,0.141,1.531,0.247,3
,29,0.373,2.781,1.148,3
,30,0.361,2.969,1.039,3
Prompt: the bund shanghai, pixel art aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.031,10.375,-9.375,3
,5,0.287,1.000,0.000,3
,8,0.108,1.000,0.000,4
,12,0.195,1.984,0.703,3
,15,0.120,1.281,0.000,3
,18,0.118,1.281,0.000,3
,21,0.190,1.992,0.547,3
,24,0.188,1.820,0.287,3
,27,0.214,1.734,-0.287,3
,29,0.184,1.445,0.000,3
,30,0.252,2.219,0.598,3
Prompt: a panda drinking coffee in a cafe in paris, van gogh style aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.719,7.250,-6.250,3
,5,0.295,1.000,0.000,3
,8,0.185,1.000,0.000,3
,11,0.338,2.562,-2.234,3
,14,0.053,0.492,0.124,8
,22,0.034,0.527,0.088,10
,29,0.029,0.441,-0.277,12
,30,0.004,0.156,-0.033,12
Prompt: a panda drinking coffee in a cafe in paris, van gogh style aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,8.438,9.750,8.750,3
,5,0.260,1.000,0.000,3
,8,0.167,1.000,0.000,3
,11,0.344,2.438,-2.062,3
,14,0.080,0.629,0.188,6
,20,0.037,0.449,-0.026,10
,29,0.032,0.424,-0.311,10
,30,0.004,0.113,-0.032,12
Prompt: cliff aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.000,10.188,9.188,3
,5,0.285,1.000,0.000,3
,8,0.130,1.000,0.000,3
,11,0.105,1.070,-0.104,4
,15,0.098,1.219,-0.420,4
,19,0.074,1.016,-0.352,6
,25,0.058,0.766,-0.260,8
,29,0.038,0.539,-0.168,10
,30,0.016,0.451,0.041,12
Prompt: cliff aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.781,6.906,5.906,3
,5,0.289,1.000,0.000,3
,8,0.237,1.000,0.000,3
,11,0.443,3.312,1.773,3
,14,0.170,1.734,-0.287,3
,17,0.139,1.648,-0.287,3
,20,0.124,1.539,-0.260,3
,23,0.125,1.461,-0.260,3
,26,0.136,1.367,-0.234,3
,29,0.222,1.445,-0.443,3
,30,0.145,1.273,0.208,3
Prompt: train railway aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,0.875,1.625,-0.625,3
,5,0.295,1.000,0.000,3
,8,0.149,1.000,0.000,3
,11,0.235,2.031,-1.469,3
,14,0.073,0.727,0.130,6
,20,0.084,1.078,0.299,6
,26,0.093,1.062,0.176,4
,29,0.104,0.883,0.000,4
,30,0.085,0.977,0.068,6
Prompt: train railway aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.516,1.898,0.898,3
,5,0.234,1.000,0.000,3
,8,0.140,1.000,0.000,3
,11,0.163,1.273,-0.391,3
,14,0.171,1.391,0.391,3
,17,0.132,1.070,-0.104,3
,20,0.141,1.375,0.312,3
,23,0.108,1.062,0.000,4
,27,0.117,1.062,0.000,3
,29,0.178,1.367,0.234,3
,30,0.174,1.438,0.234,3
Prompt: mountain aesthetic score: 6.5. motion score: 5.0.
