Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.188,7.438,6.438,3
,5,0.299,1.000,0.000,3
,8,0.136,1.000,0.000,3
,11,0.314,2.219,0.938,3
,14,0.163,1.461,-0.260,3
,17,0.163,1.539,0.260,3
,20,0.122,1.281,0.000,3
,23,0.197,1.992,0.547,3
,26,0.203,1.820,0.287,3
,29,0.318,1.938,0.312,3
,30,0.231,2.031,0.312,3
Prompt: a person is riding scooter aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.906,8.188,-7.188,3
,5,0.289,1.000,0.000,3
,8,0.215,1.000,0.000,3
,11,0.200,1.273,0.208,3
,14,0.236,2.016,0.730,3
,17,0.158,1.617,0.260,3
,20,0.163,1.734,0.287,3
,23,0.139,1.445,0.000,3
,26,0.202,1.820,0.287,3
,29,0.326,2.109,-0.832,3
,30,0.142,1.281,0.000,3
Prompt: a person is riding scooter aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.516,3.812,-2.812,3
,5,0.242,1.000,0.000,3
,8,0.181,1.000,0.000,3
,11,0.498,3.312,1.773,3
,14,0.350,2.344,0.625,3
,17,0.342,3.141,1.094,3
,20,0.239,2.047,0.000,3
,23,0.348,3.125,0.832,3
,26,0.264,2.297,0.000,3
,29,0.363,2.297,0.000,3
,30,0.391,3.453,0.887,3
Prompt: balloon full of water exploding in extreme slow motion. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,11.188,16.625,-15.625,3
,5,0.262,1.000,0.000,3
,8,0.156,1.000,0.000,3
,11,0.194,1.578,-0.832,3
,14,0.137,1.203,0.352,3
,17,0.085,0.855,0.000,6
,23,0.066,0.855,0.000,8
,29,0.071,0.906,-0.244,6
,30,0.041,0.773,0.072,10
Prompt: balloon full of water exploding in extreme slow motion. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.297,3.969,2.969,3
,5,0.275,1.000,0.000,3
,8,0.256,1.000,0.000,3
,11,0.144,1.336,-0.482,3
,14,0.087,0.855,0.000,6
,20,0.093,1.156,0.188,4
,24,0.099,1.055,-0.146,4
,28,0.113,0.953,-0.068,3
,29,0.075,1.000,0.091,6
,30,0.060,1.148,0.149,8
Prompt: vincent van gogh is painting in the room aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,0.598,1.000,0.000,3
,5,0.295,1.000,0.000,3
,8,0.130,1.000,0.000,3
,11,0.227,1.875,0.676,3
,14,0.169,1.539,0.260,3
,17,0.146,1.461,-0.260,3
,20,0.116,1.203,0.000,3
,23,0.120,1.203,0.000,3
,26,0.180,1.539,0.260,3
,29,0.324,1.992,0.547,3
,30,0.157,1.445,0.000,3
Prompt: vincent van gogh is painting in the room aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.234,5.438,-4.438,3
,5,0.250,1.000,0.000,3
,8,0.155,1.000,0.000,3
,11,0.316,2.562,1.195,3
,14,0.293,2.516,0.887,3
,17,0.270,2.500,0.676,3
,20,0.186,1.828,0.000,3
,23,0.186,1.828,0.000,3
,26,0.208,1.828,0.000,3
,29,0.395,2.297,0.365,3
,30,0.416,3.500,1.195,3
Prompt: a raccoon dressed in suit playing the trumpet, stage background aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,10.938,14.000,-13.000,3
,5,0.295,1.000,0.000,3
,8,0.192,1.000,0.000,3
,11,0.236,1.469,-0.664,3
,14,0.252,1.664,0.664,3
,17,0.140,1.273,0.208,3
,20,0.137,1.367,0.234,3
,23,0.132,1.438,0.234,3
,26,0.126,1.203,0.000,3
,29,0.184,1.203,0.000,3
,30,0.162,1.531,-0.469,3
Prompt: a raccoon dressed in suit playing the trumpet, stage background aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.000,1.625,-0.625,3
,5,0.318,1.000,0.000,3
,8,0.198,1.000,0.000,3
,11,0.314,2.219,0.938,3
,14,0.213,1.617,0.260,3
,17,0.246,2.109,0.574,3
,20,0.159,1.531,0.000,3
,23,0.189,1.938,0.312,3
,26,0.221,2.031,0.312,3
,29,0.488,3.141,1.094,3
,30,0.336,3.125,0.832,3
Prompt: an astronaut flying in space. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,7.562,14.000,-13.000,3
,5,0.219,1.000,0.000,3
,8,0.157,1.000,0.000,3
,11,0.204,1.984,-1.406,3
,14,0.063,0.750,-0.247,8
,22,0.036,0.535,-0.151,10
,29,0.027,0.383,-0.299,12
,30,0.002,0.084,-0.003,12
Prompt: an astronaut flying in space. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.000,10.188,9.188,3
,5,0.233,1.000,0.000,3
,8,0.165,1.000,0.000,3
,11,0.200,1.578,-0.832,3
,14,0.097,0.859,-0.156,4
,18,0.062,0.703,0.000,8
,26,0.061,0.773,-0.350,8
,29,0.028,0.461,-0.184,12
,30,0.009,0.334,0.026,12
Prompt: the bund shanghai, vibrant color aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.812,7.906,6.906,3
,5,0.271,1.000,0.000,3
,8,0.160,1.000,0.000,3
,11,0.149,1.336,-0.482,3
,14,0.093,0.973,0.091,4
,18,0.078,0.883,0.000,6
,24,0.083,1.016,-0.338,6
,29,0.104,0.984,-0.766,4
,30,0.025,0.289,-0.112,12
Prompt: the bund shanghai, vibrant color aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.344,9.250,8.250,3
,5,0.312,1.000,0.000,3
,8,0.121,1.000,0.000,3
,11,0.121,1.273,-0.391,3
,14,0.082,0.945,-0.091,6
,20,0.060,0.855,0.000,8
,28,0.073,0.906,-0.244,6
,29,0.026,0.703,-0.104,12
,30,0.020,0.750,0.068,12
Prompt: a cow bending down to drink water from a river aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.312,4.188,3.203,3
,5,0.264,1.000,0.000,3
,8,0.198,1.000,0.000,3
,11,0.206,1.578,0.443,3
,14,0.137,1.133,0.000,3
,17,0.147,1.445,-0.443,3
,20,0.135,1.273,0.208,3
,23,0.180,1.672,0.469,3
,26,0.183,1.539,0.260,3
,29,0.387,2.359,0.832,3
,30,0.385,3.281,1.352,3
Prompt: a cow bending down to drink water from a river aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.969,10.375,-9.375,3
,5,0.266,1.000,0.000,3
,8,0.207,1.000,0.000,3
,11,0.439,3.703,2.078,3
,14,0.217,2.047,-0.598,3
,17,0.164,1.828,-0.547,3
,20,0.131,1.461,-0.260,3
,23,0.123,1.203,0.000,3
,26,0.146,1.203,0.000,3
,29,0.258,1.531,-0.469,3
,30,0.198,1.672,0.469,3
Prompt: a person walking in the snowstorm aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.859,3.031,-2.031,3
,5,0.316,1.000,0.000,3
,8,0.146,1.000,0.000,3
,11,0.719,6.094,3.922,3
,14,0.268,2.719,0.416,3
,17,0.239,2.594,-0.416,3
,20,0.227,2.719,0.416,3
,23,0.206,2.297,0.000,3
,26,0.398,3.453,0.887,3
,29,1.023,6.062,2.703,3
,30,0.781,6.750,2.609,3
Prompt: a person walking in the snowstorm aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,24.750,32.500,-31.500,3
,5,0.275,1.000,0.000,3
,8,0.140,1.000,0.000,3
,11,0.163,1.273,0.208,3
,14,0.122,1.367,0.234,3
,17,0.160,1.773,0.494,3
,20,0.113,1.281,0.000,3
,23,0.330,2.781,1.148,3
,26,0.279,2.500,0.676,3
,29,0.375,2.297,0.365,3
,30,0.396,3.500,1.195,3
Prompt: an elephant running to join a herd of its kind aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,8.250,14.000,-13.000,3
,5,0.256,1.000,0.000,3
,8,0.125,1.000,0.000,3
,11,0.201,1.469,-0.664,3
,14,0.100,0.855,-0.078,4
,18,0.082,0.859,0.059,6
,24,0.072,0.801,0.000,6
,29,0.103,0.984,-0.463,4
,30,0.045,0.523,0.000,10
Prompt: an elephant running to join a herd of its kind aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.406,5.750,4.750,3
,5,0.301,1.000,0.000,3
,8,0.126,1.000,0.000,3
,11,0.142,1.469,-0.664,3
,14,0.067,0.855,-0.078,8
,22,0.050,0.777,0.000,8
,29,0.075,0.812,-0.176,6
,30,0.040,0.699,0.039,10
Prompt: a dog running happily aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.500,4.406,3.406,3
,5,0.247,1.000,0.000,3
,8,0.153,1.000,0.000,3
,11,0.139,1.273,-0.391,3
,14,0.186,1.656,0.598,3
,17,0.133,1.211,-0.208,3
,20,0.094,1.000,0.000,4
,24,0.094,1.000,0.000,4
,28,0.143,1.219,-0.361,3
,29,0.062,0.855,0.000,8
,30,0.040,0.977,0.068,10
Prompt: a dog running happily aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.211,1.898,0.898,3
,5,0.242,1.000,0.000,3
,8,0.199,1.000,0.000,3
,11,0.260,1.750,-1.070,3
,14,0.101,0.781,0.078,4
,18,0.142,1.422,0.516,3
,21,0.139,1.297,0.299,3
,24,0.142,1.273,0.208,3
,27,0.134,1.062,0.000,3
,29,0.175,1.422,-0.508,3
,30,0.100,0.910,0.000,4
Prompt: a cow chewing cud while resting in a tranquil barn aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.125,1.898,0.898,3
,5,0.301,1.000,0.000,3
,8,0.153,1.000,0.000,3
,11,0.188,1.273,0.208,3
,14,0.243,1.422,-0.508,3
,17,0.146,1.164,-0.365,3
,20,0.099,0.855,-0.078,4
,24,0.098,0.922,-0.244,4
,28,0.133,1.078,-0.672,3
,29,0.044,0.539,-0.183,10
,30,0.012,0.355,-0.047,12
Prompt: a cow chewing cud while resting in a tranquil barn aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.953,7.906,6.906,3
,5,0.271,1.000,0.000,3
,8,0.161,1.000,0.000,3
,11,0.146,1.273,0.208,3
,14,0.152,1.422,-0.508,3
,17,0.087,0.973,-0.091,6
,23,0.081,1.031,-0.369,6
,29,0.101,0.914,-0.637,4
,30,0.025,0.295,-0.029,12
Prompt: a wine glass and a chair aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.781,8.375,7.344,3
,5,0.264,1.000,0.000,3
,8,0.252,1.000,0.000,3
,11,0.165,1.750,-1.070,3
,14,0.072,0.727,-0.065,6
,20,0.054,0.715,-0.137,8
,28,0.052,0.625,-0.244,8
,29,0.013,0.445,0.034,12
,30,0.013,0.465,0.024,12
Prompt: a wine glass and a chair aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.344,6.625,5.625,3
,5,0.318,1.000,0.000,3
,8,0.096,1.000,0.000,4
,12,0.107,1.633,-1.055,4
,16,0.046,0.766,-0.309,10
,26,0.029,0.455,-0.086,12
,29,0.015,0.369,0.000,12
,30,0.010,0.369,0.000,12
Prompt: a car and a motorcycle aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.438,7.312,6.312,3
,5,0.307,1.000,0.000,3
,8,0.180,1.000,0.000,3
,11,0.151,1.070,-0.104,3
,14,0.241,1.984,0.781,3
,17,0.172,1.539,0.260,3
,20,0.168,1.617,0.260,3
,23,0.136,1.359,0.000,3
,26,0.168,1.539,-0.260,3
,29,0.252,1.617,0.260,3
,30,0.234,2.109,0.574,3
Prompt: a car and a motorcycle aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.125,6.312,-5.312,3
,5,0.212,1.000,0.000,3
,8,0.214,1.000,0.000,3
,11,0.192,1.211,-0.299,3
,14,0.096,0.910,0.000,4
,18,0.076,0.953,-0.068,6
,24,0.070,0.953,-0.176,6
,29,0.088,0.898,-0.299,6
,30,0.044,0.766,0.104,10
Prompt: a bowl and a remote aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.703,4.406,3.406,3
,5,0.281,1.000,0.000,3
,8,0.133,1.000,0.000,3
,11,0.177,2.109,-1.586,3
,14,0.047,0.570,-0.065,10
,24,0.030,0.504,-0.064,10
,29,0.027,0.439,-0.219,12
,30,0.006,0.216,-0.026,12
Prompt: a bowl and a remote aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.781,9.125,8.125,3
,5,0.242,1.000,0.000,3
,8,0.132,1.000,0.000,3
,11,0.154,1.750,-1.070,3
,14,0.060,0.680,0.000,8
,22,0.046,0.699,-0.103,10
,29,0.042,0.598,-0.393,10
,30,0.007,0.205,-0.029,12
Prompt: a tie and a suitcase aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,7.562,9.250,8.250,3
,5,0.219,1.000,0.000,3
,8,0.113,1.000,0.000,3
,11,0.109,1.000,0.000,4
,15,0.145,1.219,0.156,3
,18,0.127,1.062,0.000,3
,21,0.157,1.367,0.234,3
,24,0.195,1.773,0.494,3
,27,0.156,1.281,0.000,3
,29,0.155,1.281,0.000,3
,30,0.162,1.461,-0.260,3
Prompt: a tie and a suitcase aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.406,3.031,-2.031,3
,5,0.230,1.000,0.000,3
,8,0.220,1.000,0.000,3
,11,0.133,1.000,0.000,3
,14,0.213,1.875,0.676,3
,17,0.184,1.875,0.520,3
,20,0.163,1.734,0.287,3
,23,0.175,1.820,0.287,3
,26,0.211,1.938,0.312,3
,29,0.371,2.438,-1.148,3
,30,0.154,1.461,-0.260,3
Prompt: a frisbee and skis aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.266,3.031,-2.031,3
,5,0.260,1.000,0.000,3
,8,0.144,1.000,0.000,3
,11,0.222,1.516,-0.738,3
,14,0.215,1.609,0.637,3
,17,0.291,2.312,1.039,3
,20,0.408,3.656,1.820,3
,23,0.273,2.297,0.365,3
,26,0.338,2.406,0.365,3
,29,0.404,2.297,-0.365,3
,30,0.277,2.406,0.365,3
Prompt: a frisbee and skis aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.562,11.500,-10.500,3
,5,0.264,1.000,0.000,3
,8,0.203,1.000,0.000,3
,11,0.203,1.273,0.208,3
,14,0.174,1.281,-0.312,3
,17,0.131,1.102,0.104,3
,20,0.133,1.273,0.208,3
,23,0.102,1.062,0.000,4
,27,0.134,1.203,-0.234,3
,29,0.137,1.109,-0.195,3
,30,0.107,0.973,-0.091,4
Prompt: a remote aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.320,2.172,1.172,3
,5,0.295,1.000,0.000,3
,8,0.168,1.000,0.000,3
,11,0.124,1.273,0.208,3
,14,0.086,1.062,0.000,6
,20,0.070,1.062,0.000,6
,26,0.087,1.062,0.000,6
,29,0.114,1.438,0.234,3
,30,0.208,1.875,0.520,3
Prompt: a remote aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.672,4.594,-3.594,3
,5,0.322,1.000,0.000,3
,8,0.078,1.000,0.000,6
,14,0.077,1.344,-0.855,6
,20,0.032,0.539,-0.130,10
,29,0.033,0.410,-0.240,10
,30,0.006,0.169,0.000,12
Prompt: broccoli aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.594,9.312,8.312,3
,5,0.285,1.000,0.000,3
,8,0.109,1.000,0.000,4
,12,0.107,1.547,-0.906,4
,16,0.046,0.805,-0.283,10
,26,0.033,0.523,-0.141,10
,29,0.018,0.383,-0.074,12
,30,0.008,0.309,0.000,12
Prompt: broccoli aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.562,7.906,6.906,3
,5,0.264,1.000,0.000,3
,8,0.145,1.000,0.000,3
,11,0.218,1.578,0.443,3
,14,0.140,1.438,0.234,3
,17,0.134,1.531,-0.469,3
,20,0.112,1.281,-0.312,3
,23,0.104,1.109,-0.195,4
,27,0.119,1.078,-0.273,3
,29,0.107,0.855,-0.078,4
,30,0.090,1.148,0.264,4
Prompt: a skateboard aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.352,2.172,1.172,3
,5,0.264,1.000,0.000,3
,8,0.223,1.000,0.000,3
,11,0.241,1.336,-0.482,3
,14,0.207,1.484,0.482,3
,17,0.140,1.273,0.208,3
,20,0.146,1.367,0.234,3
,23,0.151,1.438,0.234,3
,26,0.155,1.367,-0.234,3
,29,0.277,1.781,-0.926,3
,30,0.125,1.102,-0.352,3
Prompt: a skateboard aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.125,3.500,2.500,3
,5,0.270,1.000,0.000,3
,8,0.123,1.000,0.000,3
,11,0.169,1.469,-0.664,3
,14,0.077,0.855,-0.078,6
,20,0.057,0.797,-0.046,8
,28,0.070,0.844,-0.477,6
,29,0.015,0.395,-0.062,12
,30,0.009,0.330,-0.010,12
Prompt: a parking meter aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.781,7.812,6.812,3
,5,0.252,1.000,0.000,3
,8,0.109,1.000,0.000,4
,12,0.121,1.656,-1.102,3
,15,0.045,0.723,-0.234,10
,25,0.028,0.488,-0.119,12
,29,0.015,0.336,-0.161,12
,30,0.005,0.176,0.000,12
Prompt: a parking meter aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.000,9.250,8.250,3
,5,0.299,1.000,0.000,3
,8,0.083,1.000,0.000,6
,14,0.076,1.328,-0.828,6
,20,0.030,0.535,-0.082,10
,29,0.043,0.555,0.049,10
,30,0.017,0.504,0.000,12
Prompt: a giraffe aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.844,5.969,4.969,3
,5,0.271,1.000,0.000,3
,8,0.199,1.000,0.000,3
,11,0.283,1.797,-1.133,3
,14,0.132,0.805,-0.208,3
,17,0.085,0.645,-0.065,6
,23,0.062,0.734,0.098,8
,29,0.057,0.680,-0.227,8
,30,0.020,0.463,-0.039,12
Prompt: a giraffe aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.312,6.781,5.781,3
,5,0.256,1.000,0.000,3
,8,0.181,1.000,0.000,3
,11,0.211,1.578,0.443,3
,14,0.157,1.297,-0.234,3
,17,0.187,1.672,0.469,3
,20,0.238,2.250,0.809,3
,23,0.247,2.219,0.598,3
,26,0.197,1.625,0.000,3
,29,0.273,1.625,0.000,3
,30,0.291,2.500,0.676,3
Prompt: a fat rabbit wearing a purple robe walking through a fantasy landscape. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.719,9.250,-8.250,3
,5,0.194,1.000,0.000,3
,8,0.171,1.000,0.000,3
,11,0.279,2.031,-1.469,3
,14,0.077,0.727,0.130,6
,20,0.047,0.703,0.065,10
,29,0.047,0.637,-0.473,10
,30,0.005,0.163,-0.019,12
Prompt: a fat rabbit wearing a purple robe walking through a fantasy landscape. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,7.062,9.562,8.562,3
,5,0.231,1.000,0.000,3
,8,0.165,1.000,0.000,3
,11,0.200,1.273,-0.391,3
,14,0.222,1.656,0.598,3
,17,0.160,1.672,0.469,3
,20,0.133,1.539,0.260,3
,23,0.113,1.281,0.000,3
,26,0.184,1.797,-0.730,3
,29,0.271,1.789,-1.039,3
,30,0.099,0.914,-0.234,4
Prompt: few big purple plums rotating on the turntable. water drops appear on the skin during rotation. isolated on the white background. close-up. macro. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.203,4.188,3.203,3
,5,0.264,1.000,0.000,3
,8,0.187,1.000,0.000,3
,11,0.281,2.109,-1.586,3
,14,0.056,0.570,-0.065,8
,22,0.034,0.539,-0.168,10
,29,0.024,0.369,-0.301,12
,30,0.002,0.063,-0.025,12
Prompt: few big purple plums rotating on the turntable. water drops appear on the skin during rotation. isolated on the white background. close-up. macro. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.281,10.625,9.625,3
,5,0.311,1.000,0.000,3
,8,0.148,1.000,0.000,3
,11,0.279,2.594,-2.266,3
,14,0.056,0.590,0.208,8
,22,0.032,0.547,0.090,10
,29,0.028,0.455,-0.250,12
,30,0.005,0.197,-0.041,12
Prompt: a corgi's head depicted as an explosion of a nebula aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.281,9.438,8.438,3
,5,0.271,1.000,0.000,3
,8,0.142,1.000,0.000,3
,11,0.183,1.984,-1.406,3
,14,0.071,0.832,0.195,6
,20,0.046,0.637,0.000,10
,29,0.047,0.637,-0.254,10
,30,0.013,0.383,0.000,12
Prompt: a corgi's head depicted as an explosion of a nebula aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.469,7.188,6.188,3
,5,0.316,1.000,0.000,3
,8,0.117,1.000,0.000,3
,11,0.202,2.609,-2.297,3
,14,0.046,0.570,0.202,10
,24,0.024,0.451,0.041,12
,29,0.017,0.385,-0.127,12
,30,0.007,0.258,0.000,12
Prompt: a lightning striking atop of eiffel tower, dark clouds in the sky aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,7.188,8.438,7.438,3
,5,0.281,1.000,0.000,3
,8,0.147,1.000,0.000,3
,11,0.221,1.875,0.676,3
,14,0.139,1.539,0.260,3
,17,0.123,1.617,0.260,3
,20,0.103,1.359,0.000,4
,24,0.143,1.656,0.215,3
,27,0.166,1.445,0.000,3
,29,0.217,1.828,-0.547,3
,30,0.138,1.281,0.000,3
Prompt: a lightning striking atop of eiffel tower, dark clouds in the sky aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.078,3.812,-2.812,3
,5,0.289,1.000,0.000,3
,8,0.188,1.000,0.000,3
,11,0.186,1.875,0.676,3
,14,0.117,1.539,0.260,3
,17,0.096,1.281,0.000,4
,21,0.202,2.484,0.859,3
,24,0.252,2.500,0.676,3
,27,0.219,1.828,0.000,3
,29,0.225,1.828,0.000,3
,30,0.303,2.781,0.730,3
Prompt: an oil painting of a couple in formal evening wear going home get caught in a heavy downpour with umbrellas aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.812,11.500,-10.500,3
,5,0.287,1.000,0.000,3
,8,0.167,1.000,0.000,3
,11,0.181,1.273,0.208,3
,14,0.138,1.281,-0.312,3
,17,0.108,1.109,-0.195,4
,21,0.086,0.953,-0.068,6
,27,0.097,1.000,-0.299,4
,29,0.071,0.738,-0.059,6
,30,0.041,0.742,0.039,10
Prompt: an oil painting of a couple in formal evening wear going home get caught in a heavy downpour with umbrellas aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.516,3.969,2.969,3
,5,0.312,1.000,0.000,3
,8,0.100,1.000,0.000,4
,12,0.115,1.750,-1.242,3
,15,0.032,0.539,-0.052,10
,25,0.028,0.488,-0.033,12
,29,0.020,0.447,-0.037,12
,30,0.012,0.465,0.024,12
Prompt: bedroom aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.859,6.625,5.625,3
,5,0.256,1.000,0.000,3
,8,0.180,1.000,0.000,3
,11,0.184,1.469,-0.664,3
,14,0.079,0.855,-0.078,6
,20,0.057,0.777,0.000,8
,28,0.072,0.840,-0.316,6
,29,0.022,0.547,-0.059,12
,30,0.015,0.555,0.029,12
Prompt: bedroom aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.812,5.750,4.750,3
,5,0.273,1.000,0.000,3
,8,0.139,1.000,0.000,3
,11,0.110,1.336,-0.482,3
,14,0.078,1.039,-0.260,6
,20,0.057,0.828,-0.124,8
,28,0.063,0.734,-0.156,8
,29,0.018,0.578,0.000,12
,30,0.019,0.688,0.049,12
Prompt: indoor movie theater aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,2.578,4.625,3.625,3
,5,0.229,1.000,0.000,3
,8,0.165,1.000,0.000,3
,11,0.121,1.070,-0.104,3
,14,0.140,1.375,0.312,3
,17,0.103,1.062,0.000,4
,21,0.161,1.828,0.547,3
,24,0.133,1.281,0.000,3
,27,0.262,1.992,0.547,3
,29,0.314,2.219,0.598,3
,30,0.309,2.500,0.676,3
Prompt: indoor movie theater aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.344,9.250,-8.250,3
,5,0.258,1.000,0.000,3
,8,0.137,1.000,0.000,3
,11,0.198,1.875,0.676,3
,14,0.169,1.539,0.260,3
,17,0.229,1.992,0.547,3
,20,0.344,3.094,1.273,3
,23,0.395,3.312,1.148,3
,26,0.309,2.469,-0.416,3
,29,0.443,2.562,-0.730,3
,30,0.336,2.781,0.730,3
Prompt: indoor library aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,9.062,11.500,-10.500,3
,5,0.275,1.000,0.000,3
,8,0.134,1.000,0.000,3
,11,0.113,1.211,-0.299,3
,14,0.096,1.164,0.195,4
,18,0.101,1.297,0.234,4
,22,0.139,1.555,0.352,3
,25,0.143,1.367,-0.234,3
,28,0.155,1.133,0.000,3
,29,0.103,1.297,-0.234,4
,30,0.135,1.555,0.352,3
Prompt: indoor library aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.922,3.031,-2.031,3
