Prompt: a lightning striking atop of eiffel tower, dark clouds in the sky aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
28,0.139,1.133, -0.555, 3
29,0.057,0.750, -0.247, 8
30,0.021,0.520, -0.081, 12
Prompt: a boat sailing leisurely along the seine river with the eiffel tower in background, watercolor painting aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.250,6.625, 5.625, 3
5,0.229,1.000, 0.000, 3
8,0.220,1.000, 0.000, 3
11,0.170,1.469, -0.664, 3
14,0.106,1.086, -0.404, 4
18,0.065,0.805, -0.205, 8
26,0.048,0.656, -0.303, 10
29,0.016,0.355, -0.126, 12
30,0.006,0.229, 0.000, 12
Prompt: an astronaut flying in space, pan left aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.125,8.688, 7.688, 3
5,0.258,1.000, 0.000, 3
8,0.195,1.000, 0.000, 3
11,0.213,1.875, 0.676, 3
14,0.145,1.367, -0.234, 3
17,0.133,1.438, 0.234, 3
20,0.228,2.250, 0.809, 3
23,0.237,2.219, 0.598, 3
26,0.188,1.625, 0.000, 3
29,0.275,1.625, 0.000, 3
30,0.293,2.500, 0.676, 3
Prompt: an astronaut flying in space, pan left aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.406,9.250, -8.250, 3
5,0.243,1.000, 0.000, 3
8,0.188,1.000, 0.000, 3
11,0.365,2.922, 1.477, 3
14,0.176,1.828, -0.547, 3
17,0.179,1.992, 0.547, 3
20,0.354,3.594, 1.648, 3
23,0.436,4.031, 1.617, 3
26,0.283,2.422, 0.000, 3
29,0.457,2.719, -0.416, 3
30,0.406,3.453, 0.887, 3
Prompt: vincent van gogh is painting in the room aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,8.875,16.625, -15.625, 3
5,0.326,1.000, 0.000, 3
8,0.175,1.000, 0.000, 3
11,0.184,1.469, -0.664, 3
14,0.160,1.273, 0.365, 3
17,0.256,2.188, 0.980, 3
20,0.134,1.203, 0.000, 3
23,0.157,1.539, 0.260, 3
26,0.203,1.797, -0.730, 3
29,0.205,1.281, -0.312, 3
30,0.125,1.109, -0.195, 3
