Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,0.727,1.000, 0.000, 3
5,0.254,1.000, 0.000, 3
8,0.200,1.000, 0.000, 3
11,0.441,2.922, 1.477, 3
14,0.264,2.219, 0.598, 3
17,0.273,2.500, 0.676, 3
20,0.229,2.297, 0.365, 3
23,0.239,2.406, 0.365, 3
26,0.236,2.047, 0.000, 3
29,0.734,4.281, 1.719, 3
30,0.475,3.844, 0.988, 3
Prompt: a person is pushing cart aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,13.562,19.625, -18.625, 3
5,0.239,1.000, 0.000, 3
8,0.212,1.000, 0.000, 3
11,0.108,1.000, 0.000, 4
15,0.147,1.469, 0.332, 3
18,0.108,1.133, 0.000, 4
22,0.123,1.375, 0.176, 3
25,0.165,1.539, 0.260, 3
28,0.182,1.281, 0.000, 3
29,0.137,1.617, 0.260, 3
30,0.202,1.734, 0.287, 3
Prompt: a person is riding scooter aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.688,5.438, -4.438, 3
5,0.226,1.000, 0.000, 3
8,0.188,1.000, 0.000, 3
11,1.086,6.094, 3.922, 3
14,0.379,3.250, 0.832, 3
17,0.404,3.703, 0.988, 3
20,0.271,2.719, 0.000, 3
23,0.471,4.750, 1.562, 3
26,0.344,3.188, 0.000, 3
29,0.762,4.812, 1.250, 3
30,0.486,4.375, 0.625, 3
Prompt: a person is riding scooter aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,19.250,28.500, -27.500, 3
5,0.239,1.000, 0.000, 3
8,0.247,1.000, 0.000, 3
11,0.863,6.094, 3.922, 3
14,0.402,3.250, 0.832, 3
17,0.479,4.312, 1.461, 3
20,0.297,2.859, 0.000, 3
23,0.297,2.859, 0.000, 3
26,0.373,3.188, -0.469, 3
29,0.498,3.078, -0.520, 3
30,0.281,2.562, 0.000, 3
Prompt: balloon full of water exploding in extreme slow motion. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,10.750,16.625, -15.625, 3
5,0.287,1.000, 0.000, 3
8,0.218,1.000, 0.000, 3
11,0.161,1.469, -0.664, 3
14,0.094,1.039, 0.183, 4
18,0.069,0.953, 0.068, 8
26,0.062,0.891, -0.034, 8
29,0.048,0.855, 0.000, 10
30,0.033,0.965, 0.055, 10
Prompt: balloon full of water exploding in extreme slow motion. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.133,1.898, 0.898, 3
5,0.275,1.000, 0.000, 3
8,0.159,1.000, 0.000, 3
11,0.208,1.844, -1.211, 3
14,0.061,0.637, 0.000, 8
22,0.045,0.688, 0.029, 10
29,0.045,0.660, -0.291, 10
30,0.012,0.369, -0.014, 12
Prompt: vincent van gogh is painting in the room aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.125,7.438, 6.438, 3
5,0.241,1.000, 0.000, 3
8,0.180,1.000, 0.000, 3
11,0.398,2.219, 0.938, 3
14,0.660,4.125, 2.188, 3
17,0.410,3.500, 1.195, 3
20,0.241,2.297, 0.000, 3
23,0.232,2.297, 0.000, 3
26,0.320,2.844, 0.416, 3
29,0.482,3.031, 0.469, 3
30,0.291,2.562, 0.000, 3
Prompt: vincent van gogh is painting in the room aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,11.500,16.625, -15.625, 3
5,0.287,1.000, 0.000, 3
8,0.168,1.000, 0.000, 3
11,0.193,1.469, -0.664, 3
14,0.116,1.039, 0.183, 3
17,0.096,0.973, 0.091, 4
21,0.076,0.883, 0.000, 6
27,0.079,0.902, -0.046, 6
29,0.051,0.855, 0.000, 8
30,0.038,0.977, 0.068, 10
Prompt: a raccoon dressed in suit playing the trumpet, stage background aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.414,1.898, 0.898, 3
5,0.285,1.000, 0.000, 3
8,0.160,1.000, 0.000, 3
11,0.245,1.211, -0.299, 3
14,0.426,2.531, 1.242, 3
17,0.264,1.992, 0.547, 3
20,0.283,2.625, 0.910, 3
23,0.214,2.188, 0.365, 3
26,0.199,1.828, 0.000, 3
29,0.283,1.828, 0.000, 3
30,0.243,2.297, 0.365, 3
Prompt: a raccoon dressed in suit playing the trumpet, stage background aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,9.938,10.375, -9.375, 3
5,0.242,1.000, 0.000, 3
8,0.151,1.000, 0.000, 3
11,0.225,1.984, -1.406, 3
14,0.097,1.016, 0.338, 4
18,0.065,0.762, 0.059, 8
26,0.050,0.711, -0.029, 10
29,0.031,0.680, -0.082, 10
30,0.020,0.598, -0.109, 12
Prompt: an astronaut flying in space. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.188,6.125, 5.125, 3
5,0.245,1.000, 0.000, 3
8,0.169,1.000, 0.000, 3
11,0.148,1.336, -0.482, 3
14,0.097,1.102, -0.352, 4
18,0.069,0.844, 0.068, 8
26,0.061,0.828, -0.249, 8
29,0.038,0.617, -0.193, 10
30,0.015,0.424, 0.000, 12
Prompt: an astronaut flying in space. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.469,6.781, 5.781, 3
5,0.241,1.000, 0.000, 3
8,0.140,1.000, 0.000, 3
11,0.192,1.516, -0.738, 3
14,0.079,0.879, 0.078, 6
20,0.058,0.836, -0.084, 8
28,0.072,0.824, -0.369, 6
29,0.019,0.477, -0.052, 12
30,0.012,0.424, 0.000, 12
Prompt: the bund shanghai, vibrant color aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.406,6.781, 5.781, 3
5,0.283,1.000, 0.000, 3
8,0.165,1.000, 0.000, 3
11,0.180,1.516, -0.738, 3
14,0.099,1.008, -0.326, 4
18,0.061,0.805, -0.205, 8
26,0.045,0.645, -0.234, 10
29,0.018,0.410, -0.152, 12
30,0.007,0.254, -0.024, 12
Prompt: the bund shanghai, vibrant color aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.656,8.688, 7.688, 3
5,0.277,1.000, 0.000, 3
8,0.104,1.000, 0.000, 4
12,0.114,1.297, -0.498, 3
15,0.069,0.801, 0.000, 8
23,0.056,0.852, -0.254, 8
29,0.057,0.688, -0.449, 8
30,0.010,0.242, -0.022, 12
Prompt: a cow bending down to drink water from a river aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.219,8.812, 7.812, 3
5,0.287,1.000, 0.000, 3
8,0.111,1.000, 0.000, 3
11,0.088,1.070, -0.104, 6
17,0.068,1.008, -0.098, 8
25,0.062,0.918, -0.034, 8
29,0.064,0.910, -0.132, 8
30,0.040,0.953, 0.098, 10
Prompt: a cow bending down to drink water from a river aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.422,2.438, 1.445, 3
5,0.322,1.000, 0.000, 3
8,0.191,1.000, 0.000, 3
11,0.241,2.359, -1.930, 3
14,0.090,0.855, 0.332, 4
18,0.050,0.523, 0.000, 8
26,0.048,0.648, 0.068, 10
29,0.026,0.578, -0.090, 12
30,0.015,0.555, 0.029, 12
Prompt: a person walking in the snowstorm aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.250,5.750, 4.750, 3
5,0.268,1.000, 0.000, 3
8,0.177,1.000, 0.000, 3
11,0.197,1.578, 0.443, 3
14,0.196,1.773, 0.494, 3
17,0.154,1.617, 0.260, 3
20,0.163,1.734, 0.287, 3
23,0.244,2.219, 0.598, 3
26,0.379,2.969, 1.039, 3
29,0.613,3.500, 1.195, 3
30,0.504,4.125, 1.406, 3
Prompt: a person walking in the snowstorm aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,9.750,18.250, -17.250, 3
5,0.301,1.000, 0.000, 3
8,0.146,1.000, 0.000, 3
11,0.225,2.219, 0.938, 3
14,0.122,1.461, -0.260, 3
17,0.117,1.539, 0.260, 3
20,0.102,1.281, 0.000, 4
24,0.231,2.484, 0.859, 3
27,0.334,2.500, 0.676, 3
29,0.531,3.859, 1.562, 3
30,0.420,3.453, 0.887, 3
Prompt: an elephant running to join a herd of its kind aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,10.125,16.625, -15.625, 3
5,0.254,1.000, 0.000, 3
8,0.172,1.000, 0.000, 3
11,0.178,1.336, -0.482, 3
14,0.126,0.984, -0.183, 3
17,0.097,0.918, -0.169, 4
21,0.073,0.820, -0.117, 6
27,0.072,0.730, -0.072, 6
29,0.045,0.715, -0.137, 10
30,0.019,0.578, 0.000, 12
Prompt: an elephant running to join a herd of its kind aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.234,5.219, 4.219, 3
5,0.241,1.000, 0.000, 3
8,0.203,1.000, 0.000, 3
11,0.195,1.469, -0.664, 3
14,0.089,0.801, 0.000, 6
20,0.066,0.836, -0.084, 8
28,0.072,0.793, -0.215, 6
29,0.025,0.613, -0.091, 12
30,0.015,0.523, 0.000, 12
Prompt: a dog running happily aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.156,5.750, 4.750, 3
5,0.277,1.000, 0.000, 3
8,0.133,1.000, 0.000, 3
11,0.172,1.797, -1.133, 3
14,0.065,0.805, -0.208, 8
22,0.035,0.625, -0.137, 10
29,0.031,0.488, -0.156, 10
30,0.015,0.488, 0.078, 12
Prompt: a dog running happily aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.188,6.906, 5.906, 3
5,0.295,1.000, 0.000, 3
8,0.126,1.000, 0.000, 3
11,0.289,2.688, -2.406, 3
14,0.042,0.465, 0.144, 10
24,0.033,0.559, 0.119, 10
29,0.026,0.439, -0.182, 12
30,0.007,0.246, -0.057, 12
Prompt: a cow chewing cud while resting in a tranquil barn aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.125,9.125, 8.125, 3
5,0.299,1.000, 0.000, 3
8,0.222,1.000, 0.000, 3
11,0.126,1.688, -0.988, 3
14,0.064,0.949, -0.352, 8
22,0.040,0.688, 0.049, 10
29,0.043,0.637, -0.182, 10
30,0.014,0.455, 0.000, 12
Prompt: a cow chewing cud while resting in a tranquil barn aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.797,6.469, 5.469, 3
5,0.279,1.000, 0.000, 3
8,0.175,1.000, 0.000, 3
11,0.159,1.211, -0.299, 3
14,0.138,1.039, -0.183, 3
17,0.141,1.344, 0.377, 3
20,0.137,1.375, 0.312, 3
23,0.146,1.367, 0.234, 3
26,0.166,1.438, 0.234, 3
29,0.303,1.875, 0.520, 3
30,0.187,1.734, 0.287, 3
Prompt: a wine glass and a chair aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.906,5.438, -4.438, 3
5,0.291,1.000, 0.000, 3
8,0.199,1.000, 0.000, 3
11,0.199,1.336, -0.482, 3
14,0.126,0.984, -0.183, 3
17,0.099,0.918, -0.169, 4
21,0.075,0.820, -0.117, 6
27,0.076,0.785, -0.208, 6
29,0.041,0.660, -0.206, 10
30,0.016,0.455, -0.031, 12
Prompt: a wine glass and a chair aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.312,6.781, 5.781, 3
5,0.254,1.000, 0.000, 3
8,0.151,1.000, 0.000, 3
11,0.320,1.578, -0.832, 3
14,0.118,0.867, 0.091, 3
17,0.070,0.777, 0.000, 6
23,0.061,0.777, 0.000, 8
29,0.069,0.820, -0.225, 8
30,0.027,0.602, -0.024, 12
Prompt: a car and a motorcycle aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.062,5.219, 4.219, 3
5,0.264,1.000, 0.000, 3
8,0.177,1.000, 0.000, 3
11,0.143,1.336, -0.482, 3
14,0.084,0.984, -0.183, 6
20,0.064,0.945, 0.091, 8
28,0.073,0.855, 0.000, 6
29,0.036,0.855, 0.000, 10
30,0.032,0.965, 0.055, 10
Prompt: a car and a motorcycle aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.219,1.898, 0.898, 3
5,0.287,1.000, 0.000, 3
8,0.212,1.000, 0.000, 3
11,0.194,1.273, 0.208, 3
14,0.155,1.211, -0.208, 3
17,0.134,1.070, -0.104, 3
20,0.123,1.102, 0.104, 3
23,0.175,1.578, 0.443, 3
26,0.166,1.438, 0.234, 3
29,0.248,1.539, 0.260, 3
30,0.268,2.359, 0.832, 3
Prompt: a bowl and a remote aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.422,6.312, -5.312, 3
5,0.252,1.000, 0.000, 3
8,0.136,1.000, 0.000, 3
11,0.148,1.578, -0.832, 3
14,0.073,0.961, -0.299, 6
20,0.046,0.715, -0.137, 10
29,0.045,0.578, -0.258, 10
30,0.011,0.320, 0.000, 12
Prompt: a bowl and a remote aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.000,7.812, 6.812, 3
5,0.230,1.000, 0.000, 3
8,0.173,1.000, 0.000, 3
11,0.213,1.578, 0.443, 3
14,0.207,1.773, 0.494, 3
17,0.150,1.281, 0.000, 3
20,0.221,1.992, 0.547, 3
23,0.203,1.820, 0.287, 3
26,0.238,1.938, 0.312, 3
29,0.422,2.500, 0.676, 3
30,0.273,2.297, 0.365, 3
Prompt: a tie and a suitcase aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.781,10.375, -9.375, 3
5,0.243,1.000, 0.000, 3
8,0.159,1.000, 0.000, 3
11,0.348,2.219, 0.938, 3
14,0.463,3.188, 1.461, 3
17,0.414,3.141, 1.094, 3
20,0.270,2.297, -0.365, 3
23,0.281,2.406, 0.365, 3
26,0.252,2.047, 0.000, 3
29,0.445,2.594, 0.416, 3
30,0.266,2.172, 0.000, 3
Prompt: a tie and a suitcase aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,7.062,12.750, -11.750, 3
5,0.275,1.000, 0.000, 3
8,0.252,1.000, 0.000, 3
11,0.439,3.312, 1.773, 3
14,0.227,1.938, 0.312, 3
17,0.205,2.047, -0.598, 3
20,0.212,2.219, 0.598, 3
23,0.162,1.625, 0.000, 3
26,0.187,1.625, 0.000, 3
29,0.271,1.625, 0.000, 3
30,0.237,2.031, 0.312, 3
Prompt: a frisbee and skis aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,6.469,8.188, -7.188, 3
5,0.204,1.000, 0.000, 3
8,0.119,1.000, 0.000, 3
11,0.247,2.031, -1.469, 3
14,0.109,1.000, 0.338, 4
18,0.067,0.727, 0.049, 8
26,0.051,0.711, -0.151, 8
29,0.034,0.602, -0.220, 10
30,0.013,0.383, 0.000, 12
Prompt: a frisbee and skis aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.469,7.188, 6.188, 3
5,0.293,1.000, 0.000, 3
8,0.123,1.000, 0.000, 3
11,0.168,1.797, -1.133, 3
14,0.083,1.047, 0.299, 6
20,0.047,0.750, 0.000, 10
29,0.057,0.750, -0.531, 8
30,0.011,0.260, 0.022, 12
Prompt: a remote aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,6.719,8.625, 7.625, 3
5,0.161,1.000, 0.000, 3
8,0.121,1.000, 0.000, 3
11,0.194,1.875, 0.676, 3
14,0.133,1.539, 0.260, 3
17,0.123,1.625, -0.494, 3
20,0.109,1.297, -0.234, 4
24,0.127,1.312, 0.176, 3
27,0.233,1.969, -1.188, 3
29,0.227,1.875, -1.562, 3
30,0.079,0.691, -0.547, 6
Prompt: a remote aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,6.312,9.562, 8.562, 3
5,0.185,1.000, 0.000, 3
8,0.122,1.000, 0.000, 3
11,0.248,1.938, -1.344, 3
14,0.073,0.645, -0.065, 6
20,0.043,0.590, -0.032, 10
29,0.044,0.559, -0.369, 10
30,0.007,0.189, -0.026, 12
Prompt: broccoli aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.062,9.375, 8.375, 3
5,0.318,1.000, 0.000, 3
8,0.144,1.000, 0.000, 3
11,0.141,1.336, -0.482, 3
14,0.091,0.973, 0.091, 4
18,0.081,0.977, 0.068, 6
24,0.067,0.910, 0.000, 8
29,0.069,0.949, -0.200, 8
30,0.030,0.762, -0.059, 10
Prompt: broccoli aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.016,3.969, 2.969, 3
5,0.344,1.000, 0.000, 3
8,0.140,1.000, 0.000, 3
11,0.145,1.688, -0.988, 3
14,0.068,0.906, 0.156, 8
22,0.051,0.863, 0.063, 8
29,0.071,0.852, -0.254, 6
30,0.037,0.703, 0.065, 10
Prompt: a skateboard aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.578,4.625, 3.625, 3
5,0.273,1.000, 0.000, 3
8,0.176,1.000, 0.000, 3
11,0.206,1.578, 0.443, 3
14,0.152,1.297, -0.234, 3
17,0.173,1.672, 0.469, 3
20,0.148,1.539, 0.260, 3
23,0.125,1.281, 0.000, 3
26,0.142,1.281, 0.000, 3
29,0.239,1.461, -0.260, 3
30,0.186,1.539, 0.260, 3
Prompt: a skateboard aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.094,3.812, -2.812, 3
5,0.279,1.000, 0.000, 3
8,0.176,1.000, 0.000, 3
11,0.138,1.000, 0.000, 3
14,0.172,1.273, 0.208, 3
17,0.115,1.062, 0.000, 3
20,0.132,1.367, 0.234, 3
23,0.146,1.438, 0.234, 3
26,0.137,1.203, 0.000, 3
29,0.239,1.531, -0.469, 3
30,0.133,1.211, -0.208, 3
Prompt: a parking meter aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,0.496,1.000, 0.000, 3
5,0.312,1.000, 0.000, 3
8,0.117,1.000, 0.000, 3
11,0.980,7.781, 5.219, 3
14,0.309,3.844, 0.988, 3
17,0.231,3.188, -0.469, 3
20,0.264,3.406, -0.988, 3
23,0.387,4.062, -2.344, 3
26,0.361,2.922, -1.719, 3
29,0.314,1.891, -0.980, 3
30,0.105,0.910, 0.000, 4
Prompt: a parking meter aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.070,1.898, 0.898, 3
5,0.330,1.000, 0.000, 3
8,0.104,1.000, 0.000, 4
12,0.095,1.328, -0.555, 4
16,0.057,0.859, 0.059, 8
24,0.104,1.547, 0.414, 4
28,0.155,1.234, -0.176, 3
29,0.083,1.062, 0.000, 6
30,0.060,1.062, 0.000, 8
Prompt: a giraffe aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.430,1.625, -0.625, 3
5,0.226,1.000, 0.000, 3
8,0.195,1.000, 0.000, 3
11,0.408,2.562, -2.234, 3
14,0.108,0.867, 0.412, 4
18,0.089,0.953, 0.355, 6
24,0.078,1.000, 0.254, 6
29,0.090,0.926, -0.438, 4
30,0.051,0.605, -0.195, 8
Prompt: a giraffe aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.750,6.906, 5.906, 3
5,0.256,1.000, 0.000, 3
8,0.191,1.000, 0.000, 3
11,0.303,1.875, 0.676, 3
14,0.179,1.203, 0.000, 3
17,0.223,1.539, 0.260, 3
20,0.229,1.992, 0.547, 3
23,0.173,1.648, -0.287, 3
26,0.193,1.734, 0.287, 3
29,0.252,1.648, -0.287, 3
30,0.187,1.734, 0.287, 3
Prompt: a fat rabbit wearing a purple robe walking through a fantasy landscape. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.219,5.438, -4.438, 3
5,0.256,1.000, 0.000, 3
8,0.185,1.000, 0.000, 3
11,0.215,1.469, -0.664, 3
14,0.167,1.273, 0.365, 3
17,0.128,1.219, -0.443, 3
20,0.079,0.777, 0.000, 6
26,0.071,0.797, -0.046, 6
29,0.069,0.867, -0.287, 8
30,0.026,0.633, -0.262, 12
Prompt: a fat rabbit wearing a purple robe walking through a fantasy landscape. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.250,7.312, 6.312, 3
5,0.285,1.000, 0.000, 3
8,0.167,1.000, 0.000, 3
11,0.188,1.516, -0.738, 3
14,0.106,0.840, -0.091, 4
18,0.077,0.855, -0.176, 6
24,0.143,1.531, 0.535, 3
27,0.163,1.273, -0.391, 3
29,0.173,1.359, -0.676, 3
30,0.125,1.094, -0.586, 3
Prompt: few big purple plums rotating on the turntable. water drops appear on the skin during rotation. isolated on the white background. close-up. macro. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.828,5.969, 4.969, 3
5,0.228,1.000, 0.000, 3
8,0.129,1.000, 0.000, 3
11,0.172,1.688, -0.988, 3
14,0.079,0.859, -0.222, 6
20,0.057,0.758, -0.303, 8
28,0.047,0.539, -0.428, 10
29,0.003,0.113, -0.042, 12
30,0.002,0.066, -0.023, 12
Prompt: few big purple plums rotating on the turntable. water drops appear on the skin during rotation. isolated on the white background. close-up. macro. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,6.844,10.562, 9.562, 3
5,0.326,1.000, 0.000, 3
8,0.155,1.000, 0.000, 3
11,0.216,1.688, -0.988, 3
14,0.104,1.023, 0.247, 4
18,0.140,1.555, 0.555, 3
21,0.112,1.273, 0.208, 3
24,0.103,1.062, 0.000, 4
28,0.133,1.156, -0.156, 3
29,0.093,1.273, 0.208, 4
30,0.083,1.062, 0.000, 6
Prompt: a corgi's head depicted as an explosion of a nebula aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,0.914,1.625, -0.625, 3
5,0.285,1.000, 0.000, 3
8,0.149,1.000, 0.000, 3
11,0.188,2.312, -1.875, 3
14,0.067,0.805, 0.279, 8
22,0.072,1.094, 0.316, 6
28,0.088,0.961, -0.455, 6
29,0.019,0.516, -0.026, 12
30,0.016,0.555, 0.029, 12
Prompt: a corgi's head depicted as an explosion of a nebula aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.234,5.750, 4.750, 3
5,0.271,1.000, 0.000, 3
8,0.176,1.000, 0.000, 3
11,0.154,1.469, -0.664, 3
14,0.186,1.664, 0.664, 3
17,0.142,1.273, 0.208, 3
20,0.171,1.484, -0.598, 3
23,0.106,1.000, 0.091, 4
27,0.137,1.258, -0.578, 3
29,0.104,0.871, -0.273, 4
30,0.047,0.598, 0.000, 10
Prompt: a lightning striking atop of eiffel tower, dark clouds in the sky aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.469,5.031, 4.031, 3
5,0.270,1.000, 0.000, 3
8,0.196,1.000, 0.000, 3
11,0.173,1.273, 0.208, 3
14,0.118,1.062, 0.000, 3
17,0.136,1.367, 0.234, 3
20,0.137,1.438, 0.234, 3
23,0.156,1.539, 0.260, 3
26,0.150,1.281, 0.000, 3
29,0.212,1.281, 0.000, 3
30,0.184,1.617, 0.260, 3
Prompt: a lightning striking atop of eiffel tower, dark clouds in the sky aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.953,4.594, -3.594, 3
5,0.295,1.000, 0.000, 3
8,0.147,1.000, 0.000, 3
11,0.183,2.156, -1.656, 3
14,0.041,0.539, -0.052, 10
24,0.048,0.832, 0.172, 10
29,0.038,0.660, -0.137, 10
30,0.022,0.672, 0.074, 12
Prompt: an oil painting of a couple in formal evening wear going home get caught in a heavy downpour with umbrellas aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.062,5.031, 4.031, 3
5,0.334,1.000, 0.000, 3
8,0.113,1.000, 0.000, 3
11,0.084,1.000, 0.000, 6
17,0.076,1.164, 0.104, 6
23,0.085,1.180, -0.299, 6
29,0.111,1.047, -0.412, 3
30,0.076,0.727, -0.130, 6
Prompt: an oil painting of a couple in formal evening wear going home get caught in a heavy downpour with umbrellas aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.188,5.031, 4.031, 3
5,0.297,1.000, 0.000, 3
8,0.109,1.000, 0.000, 4
12,0.113,1.516, -0.852, 3
15,0.060,0.852, -0.273, 8
23,0.040,0.617, -0.193, 10
29,0.028,0.424, -0.219, 12
30,0.005,0.205, 0.000, 12
Prompt: bedroom aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,6.719,9.000, 7.969, 3
5,0.247,1.000, 0.000, 3
8,0.147,1.000, 0.000, 3
11,0.095,1.000, 0.000, 4
15,0.103,1.297, -0.498, 4
19,0.067,0.945, -0.244, 8
27,0.058,0.770, -0.330, 8
29,0.020,0.461, -0.105, 12
30,0.010,0.348, -0.039, 12
Prompt: bedroom aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,6.344,7.906, 6.906, 3
5,0.204,1.000, 0.000, 3
8,0.144,1.000, 0.000, 3
11,0.188,1.336, -0.482, 3
14,0.121,0.973, 0.091, 3
17,0.115,1.000, 0.091, 3
20,0.100,1.039, -0.183, 4
24,0.091,1.016, -0.264, 4
28,0.129,1.094, -0.566, 3
29,0.057,0.758, -0.332, 8
30,0.019,0.434, -0.051, 12
Prompt: football field aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.766,7.188, 6.188, 3
5,0.338,1.000, 0.000, 3
8,0.215,1.000, 0.000, 3
11,0.277,1.875, 0.676, 3
14,0.174,1.531, -0.469, 3
17,0.134,1.422, -0.508, 3
20,0.083,0.973, -0.091, 6
26,0.081,0.973, -0.222, 6
29,0.069,0.867, -0.287, 8
30,0.026,0.621, 0.024, 12
Prompt: football field aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.344,5.031, 4.031, 3
5,0.271,1.000, 0.000, 3
8,0.185,1.000, 0.000, 3
11,0.142,1.273, -0.391, 3
14,0.088,0.945, -0.091, 6
20,0.072,0.957, -0.254, 6
26,0.065,0.730, -0.072, 8
29,0.044,0.695, -0.171, 10
30,0.025,0.672, 0.074, 12
Prompt: indoor library aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.125,5.031, 4.031, 3
5,0.260,1.000, 0.000, 3
8,0.118,1.000, 0.000, 3
11,0.131,1.750, -1.070, 3
14,0.058,0.871, -0.273, 8
22,0.036,0.633, -0.178, 10
